speaker,file,word,time,rel_time,cq,language,vowel,voicing,place
it09,it09-044,putu,0.8578531865730172,0.8349011428151528,0.229625460754392,Italian,u,voiceless,coronal
it09,it09-046,pata,0.8266454065788178,0.029390072320326036,0.5660735396094171,Italian,a,voiceless,coronal
it09,it09-046,pata,0.8314967901390928,0.09569251427388493,0.5467150331145562,Italian,a,voiceless,coronal
it09,it09-046,pata,0.8367173505872526,0.16704038891184397,0.4032308151936285,Italian,a,voiceless,coronal
it09,it09-046,pata,0.841044171507292,0.22617378649422265,0.38776620931945727,Italian,a,voiceless,coronal
it09,it09-046,pata,0.8455460123528334,0.2876991302723895,0.36428562932411507,Italian,a,voiceless,coronal
it09,it09-046,pata,0.8506052146359329,0.3568417700037026,0.4073273231123087,Italian,a,voiceless,coronal
it09,it09-046,pata,0.8551444556014107,0.41887825029588355,0.3684996542590472,Italian,a,voiceless,coronal
it09,it09-046,pata,0.8599216749242856,0.48416711128142387,0.37159586711665793,Italian,a,voiceless,coronal
it09,it09-046,pata,0.8647845761369449,0.550626961625633,0.38274200894807453,Italian,a,voiceless,coronal
it09,it09-046,pata,0.8693533481935558,0.613067034713837,0.3550764461349982,Italian,a,voiceless,coronal
it09,it09-046,pata,0.8742774216779307,0.6803629086262087,0.23251338198784421,Italian,a,voiceless,coronal
it09,it09-046,pata,0.8778272035065111,0.7288767399308419,0.44285076827651393,Italian,a,voiceless,coronal
it09,it09-046,pata,0.8826816568380815,0.7952211355519667,0.4880207234199737,Italian,a,voiceless,coronal
it09,it09-046,pata,0.887704526485401,0.8638672277634041,0.5249450673638558,Italian,a,voiceless,coronal
it09,it09-047,paca,0.9641412407659047,0.2876321345606485,0.24638898126637646,Italian,a,voiceless,velar
it09,it09-047,paca,0.9736739114487246,0.3914587376154312,0.23581780099511762,Italian,a,voiceless,velar
it09,it09-047,paca,0.983628920211973,0.4998853032295618,0.2519423743564523,Italian,a,voiceless,velar
it09,it09-047,paca,0.99330459611456,0.605269470442548,0.24387928676374024,Italian,a,voiceless,velar
it09,it09-047,paca,1.003359236387869,0.7147811885381806,0.24682387239952916,Italian,a,voiceless,velar
it09,it09-048,pugu,0.7809576068947698,0.03115550549325605,0.32970296043807823,Italian,u,voiced,velar
it09,it09-048,pugu,0.7856710603512316,0.09061771304674733,0.33923381156924115,Italian,u,voiced,velar
it09,it09-048,pugu,0.7902357835769411,0.14820362587660155,0.333055294574417,Italian,u,voiced,velar
it09,it09-048,pugu,0.7949037219730232,0.2070916417058911,0.32725056809318903,Italian,u,voiced,velar
it09,it09-048,pugu,0.7995995557522689,0.26633156958412457,0.31517559075276097,Italian,u,voiced,velar
it09,it09-048,pugu,0.804207744000591,0.32446581204527303,0.3327376461220283,Italian,u,voiced,velar
it09,it09-048,pugu,0.8085385816516614,0.37910115949638173,0.32827994877902994,Italian,u,voiced,velar
it09,it09-048,pugu,0.813180616328896,0.43766238896388004,0.40683947418247124,Italian,u,voiced,velar
it09,it09-048,pugu,0.8178181141385031,0.49616638392869244,0.6196897358744147,Italian,u,voiced,velar
it09,it09-048,pugu,0.8223887681913665,0.5538271166498308,0.5859613018243903,Italian,u,voiced,velar
it09,it09-048,pugu,0.8265537821537754,0.606370528181013,0.39525018034224296,Italian,u,voiced,velar
it09,it09-048,pugu,0.8314769888786339,0.6684788618701782,0.5431431032051277,Italian,u,voiced,velar
it09,it09-048,pugu,0.8359645578463167,0.7250914411248109,0.4623179719249586,Italian,u,voiced,velar
it09,it09-048,pugu,0.8416733344538238,0.7971100709145522,0.5723583267958129,Italian,u,voiced,velar
it09,it09-048,pugu,0.8460297499715738,0.8520680939646311,0.4971300896510276,Italian,u,voiced,velar
it09,it09-049,poto,0.7911465692340112,0.039816493257437705,0.39756253386195367,Italian,o,voiceless,coronal
it09,it09-049,poto,0.7960467636254206,0.09627059213968056,0.401381436743896,Italian,o,voiceless,coronal
it09,it09-049,poto,0.8014454962029629,0.15846824358503397,0.5461020441436614,Italian,o,voiceless,coronal
it09,it09-049,poto,0.805484014423121,0.20499515430070636,0.43493181504315925,Italian,o,voiceless,coronal
it09,it09-049,poto,0.8102871359878158,0.26033089776265483,0.3983561234837211,Italian,o,voiceless,coronal
it09,it09-049,poto,0.8153849449002354,0.3190616715721688,0.48555065473678827,Italian,o,voiceless,coronal
it09,it09-049,poto,0.8196021211874026,0.36764686393452956,0.4076059950558967,Italian,o,voiceless,coronal
it09,it09-049,poto,0.8245834959825911,0.42503622500765115,0.4255883356039471,Italian,o,voiceless,coronal
it09,it09-049,poto,0.8293371506196576,0.4798020705021601,0.3892343061125677,Italian,o,voiceless,coronal
it09,it09-049,poto,0.8343302709462337,0.5373267493478875,0.3908046463511597,Italian,o,voiceless,coronal
it09,it09-049,poto,0.8392708601301033,0.5942462280550357,0.42526082406984117,Italian,o,voiceless,coronal
it09,it09-050,pudu,0.7650397484071202,0.07782474134859838,0.34133591458255474,Italian,u,voiced,coronal
it09,it09-050,pudu,0.7693511147488727,0.14210348794000935,0.3348940233351342,Italian,u,voiced,coronal
it09,it09-050,pudu,0.773799186645367,0.20842039622178254,0.3412388105517179,Italian,u,voiced,coronal
it09,it09-050,pudu,0.7782924037100879,0.27541037995069884,0.32737926804117573,Italian,u,voiced,coronal
it09,it09-050,pudu,0.7828826813532699,0.34384745303189157,0.3223712546332105,Italian,u,voiced,coronal
it09,it09-050,pudu,0.7872630302131836,0.40915466935949146,0.3261106467161171,Italian,u,voiced,coronal
it09,it09-050,pudu,0.7916850174598221,0.4750826780523433,0.32232469168398353,Italian,u,voiced,coronal
it09,it09-050,pudu,0.7961007436182677,0.5409173393306068,0.3233828231231979,Italian,u,voiced,coronal
it09,it09-050,pudu,0.8006753480231814,0.6091207379728742,0.3454324862358602,Italian,u,voiced,coronal
it09,it09-050,pudu,0.8049735545190153,0.6732032826334042,0.45226567560008524,Italian,u,voiced,coronal
it09,it09-050,pudu,0.8096646059895767,0.7431428063995306,0.8061833205950969,Italian,u,voiced,coronal
it09,it09-050,pudu,0.8131926268768882,0.7957425491744669,0.6190088807487675,Italian,u,voiced,coronal
it09,it09-050,pudu,0.8166726981300374,0.8476274043385724,0.22692307654971866,Italian,u,voiced,coronal
it09,it09-051,pogo,0.8776944265041621,0.03473985660389375,0.38365985498167543,Italian,o,voiced,velar
it09,it09-051,pogo,0.8821998541979559,0.08907017794400716,0.3781089906086259,Italian,o,voiced,velar
it09,it09-051,pogo,0.8867580201047509,0.1440364620059742,0.38019502738337796,Italian,o,voiced,velar
it09,it09-051,pogo,0.8913452495461528,0.19935321915990653,0.3553495450568961,Italian,o,voiced,velar
it09,it09-051,pogo,0.8963018375950559,0.2591240200138232,0.4132444975074566,Italian,o,voiced,velar
it09,it09-051,pogo,0.9009822133210905,0.3155640151641628,0.3903932508201988,Italian,o,voiced,velar
it09,it09-051,pogo,0.9059592876807693,0.37558185756955054,0.4473509218245031,Italian,o,voiced,velar
it09,it09-051,pogo,0.9105488323035538,0.4309265331714142,0.42606394765127154,Italian,o,voiced,velar
it09,it09-051,pogo,0.9153341615731435,0.48863214839928554,0.41728745768563624,Italian,o,voiced,velar
it09,it09-051,pogo,0.9202457144224776,0.5478598760911203,0.4365625404770628,Italian,o,voiced,velar
it09,it09-051,pogo,0.9246987421134089,0.6015583131380584,0.39652622728026754,Italian,o,voiced,velar
it09,it09-051,pogo,0.9296357881857099,0.6610934600340007,0.42931139052577966,Italian,o,voiced,velar
it09,it09-051,pogo,0.9343722624482576,0.7182099395766346,0.4495561601419293,Italian,o,voiced,velar
it09,it09-051,pogo,0.938947614394025,0.7733834676747715,0.4645191597977881,Italian,o,voiced,velar
it09,it09-051,pogo,0.943766935321807,0.831498983546485,0.4678771323334471,Italian,o,voiced,velar
it09,it09-051,pogo,0.9485994201710253,0.8897732413025067,0.5007912030170203,Italian,o,voiced,velar
it09,it09-052,pada,0.8285448346269099,0.25713277530410217,0.3296738200430261,Italian,a,voiced,coronal
it09,it09-052,pada,0.8341432829086504,0.31263411965373283,0.4296392239230245,Italian,a,voiced,coronal
it09,it09-052,pada,0.8388756343799108,0.35954923887463386,0.4189205051656822,Italian,a,voiced,coronal
it09,it09-052,pada,0.8437164875534274,0.4075400115688533,0.39464403739008463,Italian,a,voiced,coronal
it09,it09-052,pada,0.8488987956076882,0.45891586597899225,0.429156259702861,Italian,a,voiced,coronal
it09,it09-052,pada,0.8538758604273105,0.508257000254579,0.43841935885608946,Italian,a,voiced,coronal
it09,it09-052,pada,0.8588101906322092,0.557174476322024,0.41126185497776785,Italian,a,voiced,coronal
it09,it09-052,pada,0.8640489189929749,0.6091096648015428,0.43873366733269714,Italian,a,voiced,coronal
it09,it09-052,pada,0.8689413571314468,0.6576118354330415,0.45862091028395996,Italian,a,voiced,coronal
it09,it09-052,pada,0.8735884873094131,0.7036820962026346,0.3970231429427031,Italian,a,voiced,coronal
it09,it09-052,pada,0.8789387496127992,0.7567229988808963,0.4809310425735956,Italian,a,voiced,coronal
it09,it09-052,pada,0.8831835336146167,0.7988045198164497,0.4270427268337643,Italian,a,voiced,coronal
it09,it09-052,pada,0.8879808561944569,0.846363743204898,0.3988255817646879,Italian,a,voiced,coronal
it09,it09-052,pada,0.8929165411555811,0.8952946499209786,0.42014458116549125,Italian,a,voiced,coronal
it09,it09-053,pucu,0.7432127793427403,0.04729175624785932,0.2922190250591646,Italian,u,voiceless,velar
it09,it09-053,pucu,0.7486240375622033,0.12513816190320012,0.2735279524377858,Italian,u,voiceless,velar
it09,it09-053,pucu,0.7542029972743906,0.2053971226246925,0.36151793632337303,Italian,u,voiceless,velar
it09,it09-053,pucu,0.7587133996383425,0.2702838084660969,0.3313368923150386,Italian,u,voiceless,velar
it09,it09-053,pucu,0.7634595995498613,0.3385626797837742,0.3694593601611361,Italian,u,voiceless,velar
it09,it09-053,pucu,0.7682592745488194,0.4076108441531631,0.3369544487661603,Italian,u,voiceless,velar
it09,it09-053,pucu,0.7731647339456535,0.4781808237483439,0.36671021556394545,Italian,u,voiceless,velar
it09,it09-053,pucu,0.7778190880713338,0.5451384008286839,0.3702212595479408,Italian,u,voiceless,velar
it09,it09-053,pucu,0.7825818240337903,0.6136551599123894,0.3802943772753499,Italian,u,voiceless,velar
it09,it09-053,pucu,0.7872123375415235,0.6802697656650809,0.3521512303266107,Italian,u,voiceless,velar
it09,it09-053,pucu,0.7921599568311561,0.7514462578279614,0.3344066436951561,Italian,u,voiceless,velar
it09,it09-053,pucu,0.7971604885105598,0.8233839480692282,0.3386017157252137,Italian,u,voiceless,velar
it09,it09-054,podo,0.778028913556431,0.05581540678078298,0.47538606038237885,Italian,o,voiced,coronal
it09,it09-054,podo,0.7920424761084486,0.18943349921227673,0.22783288928368195,Italian,o,voiced,coronal
it09,it09-054,podo,0.8024284006940184,0.28846238113362643,0.43535257940678823,Italian,o,voiced,coronal
it09,it09-054,podo,0.8080351462447173,0.3419222092431663,0.2853740542959634,Italian,o,voiced,coronal
it09,it09-054,podo,0.8179860895645784,0.43680358286663,0.49481928235925715,Italian,o,voiced,coronal
it09,it09-054,podo,0.8344067652134342,0.5933732879999256,0.47447130530096066,Italian,o,voiced,coronal
it09,it09-054,podo,0.8393680932056834,0.6406791161782052,0.506826243208681,Italian,o,voiced,coronal
it09,it09-054,podo,0.8556265809668396,0.795702373997375,0.7346921267801301,Italian,o,voiced,coronal
it09,it09-055,paga,0.7521385116240896,0.06237947148009073,0.3018327982009288,Italian,a,voiced,velar
it09,it09-055,paga,0.7573737195501417,0.11585910282639446,0.32313803041178357,Italian,a,voiced,velar
it09,it09-055,paga,0.7626750068371034,0.17001375986622733,0.3496074793663056,Italian,a,voiced,velar
it09,it09-055,paga,0.7679397508919293,0.22379511395220744,0.3479222689036031,Italian,a,voiced,velar
it09,it09-055,paga,0.7730986805510002,0.2764955339175096,0.4297327488424859,Italian,a,voiced,velar
it09,it09-055,paga,0.7782578591464203,0.329198496861883,0.4278012862914525,Italian,a,voiced,velar
it09,it09-055,paga,0.7839351031234659,0.3871936938519643,0.5500832650231104,Italian,a,voiced,velar
it09,it09-055,paga,0.7888859525282119,0.43776849522695965,0.6268758420056851,Italian,a,voiced,velar
it09,it09-055,paga,0.7938823056057859,0.48880813385046856,0.45974626961074017,Italian,a,voiced,velar
it09,it09-055,paga,0.7996133484685765,0.5473529068301043,0.5373134967601432,Italian,a,voiced,velar
it09,it09-055,paga,0.8049301392938845,0.6016659383847666,0.5239964966704225,Italian,a,voiced,velar
it09,it09-055,paga,0.8101909309243984,0.6554069169597616,0.4740651422779963,Italian,a,voiced,velar
it09,it09-055,paga,0.8156058975069405,0.7107228510501364,0.4522426254537639,Italian,a,voiced,velar
it09,it09-055,paga,0.8205937137107564,0.7616752822756055,0.4705345146662984,Italian,a,voiced,velar
it09,it09-055,paga,0.8254579694624641,0.8113654966949666,0.4515548596663907,Italian,a,voiced,velar
it09,it09-055,paga,0.8304773148786084,0.8626400107633294,0.45608945908248805,Italian,a,voiced,velar
it09,it09-055,paga,0.8352245047859241,0.9111343532536748,0.41923026107179645,Italian,a,voiced,velar
