speaker,word,time_point,f1,f2,f3,f0,duration,vowel,voicing,place
it07,poto,1,493.5513072167,845.4757684542,2484.2844950128,126.3537900693,93.7118942231,o,voiceless,coronal
it07,poto,2,504.4598087726,848.6383420548,2499.0600945947,128.1931895489,93.7118942231,o,voiceless,coronal
it07,poto,3,514.1828470182,858.8103958377,2530.3899597952,128.9723216805,93.7118942231,o,voiceless,coronal
it07,poto,4,523.8908250752,856.4563724283,2531.970723477,129.3362900128,93.7118942231,o,voiceless,coronal
it07,poto,5,527.9535822212,857.5611358407,2528.5336480515,130.4114501187,93.7118942231,o,voiceless,coronal
it07,poto,6,526.8374614914,882.1146613763,2512.7872198219,132.1295907775,93.7118942231,o,voiceless,coronal
it07,poto,7,524.9532875894,912.273499849,2468.8378554798,134.4125522952,93.7118942231,o,voiceless,coronal
it07,poto,8,515.4365983802,945.8387127237,2570.9694399183,136.8437237292,93.7118942231,o,voiceless,coronal
it07,poto,9,484.3467376807,982.2841952895,2701.8277826527,138.1902918719,93.7118942231,o,voiceless,coronal
it07,poco,1,480.0266883812,884.0455159035,2271.5914644874,122.0587016852,71.9905942376,o,voiceless,velar
it07,poco,2,496.0008992111,893.2845877646,2236.5855073623,122.8171075282,71.9905942376,o,voiceless,velar
it07,poco,3,502.7419421539,900.8240331973,2223.8549578718,123.8426118235,71.9905942376,o,voiceless,velar
it07,poco,4,503.3499380927,895.6754732642,2207.8910772157,124.1304037221,71.9905942376,o,voiceless,velar
it07,poco,5,504.2877839358,897.9779556885,2203.4844900165,125.3660521364,71.9905942376,o,voiceless,velar
it07,poco,6,499.3208839893,895.3200724596,2181.9488818664,126.1409242341,71.9905942376,o,voiceless,velar
it07,poco,7,490.5551370365,888.2931835235,2136.0729665474,125.9827684716,71.9905942376,o,voiceless,velar
it07,poco,8,481.0242157819,869.3582369369,2043.5706438817,128.233403338,71.9905942376,o,voiceless,velar
it07,poco,9,458.7878629067,826.6979861251,2137.1284504108,130.0935786246,71.9905942376,o,voiceless,velar
it07,paga,1,678.7976585879,1118.5691425978,2383.6099434901,146.6305470873,117.9156284926,a,voiced,velar
it07,paga,2,710.1722173752,1169.5388010947,2402.5181128871,131.73117709,117.9156284926,a,voiced,velar
